SPECIES;LOCALITY;DATE;SEX;GEOGRAPHY;GROUP;SVL;HL;HW;HH;FLL;HLL;EL;NED;EED;IORD;SW;TD;TOL;FIL;FIPL;IPW;PW;PL;MSOL;SDLT;SDLF;NSL;NIL;NDS;NVS;RVS;NEE
Heremites vittatus;between Cizre and Silopi 5 km., Þýrnak, Turkey;10.04.2006;male;Arabian;Arabian_male;77.25;15.01;8.43;6.62;17.34;26.33;4.59;3.52;4.47;5.31;4.19;2.19;8.55;5.2;8.17;1.98;3.71;2.28;2.61;17;11;7;7;30;42;8;6
Heremites vittatus;between Cizre and Silopi 5 km., Þýrnak, Turkey;10.04.2006;male;Arabian;Arabian_male;62.86;12.78;7.36;5.61;14.66;22.06;3.4;3.07;3.39;4.35;3.22;1.35;7.8;4.47;7.04;2.16;3.26;2.31;1.97;16;12;7;7;31;40;8;6
Heremites vittatus;Silopi, Þýrnak, Turkey;8.04.2006;male;Arabian;Arabian_male;80.16;14.99;9.01;7.33;14.04;28.98;4.47;3.56;4.15;5.92;4.29;2.08;9.86;5.28;8.3;2.31;3.9;2.71;2.83;15;10;7;7;32;41;8;6
Heremites vittatus;Silopi, Þýrnak, Turkey;8.04.2006;male;Arabian;Arabian_male;69.36;13.81;7.54;6.36;16.51;23.83;3.74;3.32;3.86;5.06;3.73;1.42;8.29;4.05;7.2;1.74;3.46;2.61;2.37;16;10;7;7;32;43;8;6
Heremites vittatus;Silopi, Þýrnak, Turkey;8.04.2006;male;Arabian;Arabian_male;76;14.89;8.73;7.14;17.91;26.37;4.34;3.77;4.22;5.43;3.83;1.43;7.88;4.52;8.07;2.31;3.7;2.93;2.38;16;11;7;7;33;43;8;7
Heremites vittatus;Silopi, Þýrnak, Turkey;8.04.2006;male;Arabian;Arabian_male;75.01;14.05;7.82;6.42;15.67;24.39;3.71;3.52;3.92;4.91;4.09;1.5;8.83;4.42;7.33;1.57;3.65;2.63;2.59;17;11;7;7;32;43;8;6
Heremites vittatus;Silopi, Þýrnak, Turkey;8.04.2006;male;Arabian;Arabian_male;68.61;13.28;8.11;6.77;15.94;23.5;3.7;3.12;3.96;4.86;3.89;1.32;8.47;4.65;7.04;2.01;3.5;2.55;2.24;16;10;7;7;32;41;8;6
Heremites vittatus;Silopi, Þýrnak, Turkey;8.04.2006;male;Arabian;Arabian_male;74.48;14.07;8.44;7.04;15.94;25.12;4.66;3.35;3.85;5.52;4.54;1.59;7.81;5.09;8.18;1.93;3.51;2.54;2.48;16;12;7;7;32;40;10;6
Heremites vittatus;Silopi, Þýrnak, Turkey;8.04.2006;male;Arabian;Arabian_male;72.22;14.13;8.33;6.03;15.11;26.33;3.89;3.41;3.94;5.24;3.92;1.04;8.99;4.96;7.55;1.75;3.4;2.38;2.22;16;11;7;7;31;44;8;6
Heremites vittatus;Silopi, Þýrnak, Turkey;10.05.2011;male;Arabian;Arabian_male;75.35;14.08;8.78;6.95;16.66;24.97;4.6;3.38;3.98;6.11;4.34;1.64;8.12;4.82;7.95;1.98;3.68;2.77;2.44;17;12;7;7;32;43;8;6
Heremites vittatus;Silopi, Þýrnak, Turkey;10.05.2011;male;Arabian;Arabian_male;72.4;14.31;8.03;6.24;15.2;23.98;4.24;3.06;3.84;5.73;4.28;1.42;8.15;5.08;7.86;1.75;3.38;2.93;2.41;17;11;7;7;32;43;8;7
Heremites vittatus;Silopi, Þýrnak, Turkey;10.05.2011;male;Arabian;Arabian_male;71.47;13.9;7.93;6.14;16.23;24.26;3.95;3.13;3.63;4.89;3.88;1.34;8.06;5.22;7.46;2;3.65;2.61;2.46;18;11;7;7;34;42;8;6
Heremites vittatus;Silopi, Þýrnak, Turkey;10.05.2011;male;Arabian;Arabian_male;59.87;11.69;6.53;5.21;13.9;19.64;3.5;2.84;2.94;4.63;3.3;1.54;7.54;4.19;6.47;1.79;2.75;2.34;1.93;17;12;7;7;33;43;8;6
Heremites vittatus;between Diyarbakýr and Siverek 48. km., Turkey;31.04.2005;male;Arabian;Arabian_male;78.5;14.56;8.44;6.16;17.09;25.67;3.54;3.9;4.39;4.83;3.82;1.43;8.28;4.21;7.98;2.12;4.04;2.78;2.46;17;11;7;7;32;43;8;7
Heremites vittatus;between Diyarbakýr and Siverek 48. km., Turkey;31.04.2005;male;Arabian;Arabian_male;75.64;14.14;7.85;6.37;17.7;26.33;3.25;4.11;4.16;5.05;3.16;1.18;8.72;4.46;7.72;1.94;3.82;2.75;2.55;16;10;7;7;30;43;8;6
Heremites vittatus;between Diyarbakýr and Siverek 48. km., Turkey;31.04.2005;male;Arabian;Arabian_male;72.26;13.35;7.83;6.5;16.71;25.88;3.35;3.4;3.79;5.28;3.97;1.44;7.95;4.2;7.51;2.04;3.67;2.86;2.54;17;12;7;7;34;47;8;7
Heremites vittatus;between Viranþehir and Þanlýurfa 27 km., Turkey;11.04.2006;male;Arabian;Arabian_male;80.18;14.85;8.68;6.71;16.73;26.36;3.98;3.55;4.34;5.63;4.39;1.61;8.91;4.47;8.43;1.86;4.05;2.98;2.57;18;12;7;7;32;42;8;7
Heremites vittatus;Güzelyat, Ceylanpýnar, Þanlýurfa, Turkey;3.05.2001;male;Arabian;Arabian_male;71.09;14.6;8.15;5.96;16.96;25.32;3.91;3.5;3.98;5.48;4.26;1.53;9.23;4.62;7.63;1.64;3.53;2.66;2.32;17;12;7;7;32;41;8;6
Heremites vittatus;Eskisavaþan village, Halfeti, Þanlýurfa, Turkey;12.04.2006;male;Arabian;Arabian_male;62.17;13.11;7.04;5.61;15.33;21.22;3.96;3.06;3.24;4.48;3.43;1.4;7.23;4.5;6.83;1.7;2.72;2.54;2.65;16;12;7;7;31;42;8;6
Heremites vittatus;between Siverek and Karakeçi 8. km, Þanlýurfa, Turkey;25.05.2006;male;Arabian;Arabian_male;75.24;12.88;8.23;6.57;19.03;28.29;3.69;3.81;3.7;6.24;3.83;1.62;9.4;4.53;7.69;2.08;3.81;2.61;2.56;16;12;7;7;32;43;8;6
Heremites vittatus;Between Þanlýurfa and Hilvan, Turkey;27.04.2005;male;Arabian;Arabian_male;64.01;13.25;7.57;5.63;15.58;22.66;3.33;2.76;3.41;4.43;3.05;1.46;7.14;4.7;6.98;1.63;3.36;2.16;2.11;16;10;7;7;30;41;8;6
Heremites vittatus;Between Þanlýurfa and Hilvan, Turkey;27.04.2005;male;Arabian;Arabian_male;59.81;12.88;6.56;5.17;15.49;20.39;3.32;3.16;3.38;4.13;3.49;1.28;7.76;4.2;7.17;1.75;3.02;2.28;2.43;16;10;7;7;31;46;8;6
